transaction_id,customer_id,date,age,category,quantity,unit_price,discount,cost,marketing_spend,customer_satisfaction,region,delivery_time,inventory,returned,tenure_months,purchase_frequency,total_purchases,average_order_value,sales,profit,churn,segment
TX-10001,CUST-1654,2025-10-10,41,Electronics,1,1677.39,0.0,1187.19,935.63,4.0,East,3,166,0,32,4,41,1734.44,1677.39,462.67,0,High Value Customer
TX-10002,CUST-1142,2025-10-05,36,Fitness,3,263.92,0.0,121.23,1179.55,3.8,North,1,258,0,37,3,38,812.56,791.76,405.88,0,Regular Customer
TX-10003,CUST-1032,2025-08-29,37,Electronics,1,1001.56,0.0,603.81,5624.48,4.6,South,5,49,0,24,5,40,1023.44,1001.56,290.88,0,High Value Customer
TX-10004,CUST-1616,2025-08-27,34,Home & Kitchen,2,195.96,5.0,114.7,4778.33,5.0,South,4,227,0,20,4,31,410.1,372.32,53.25,0,Regular Customer
TX-10005,CUST-1718,2026-05-20,18,Grocery,2,27.01,15.0,18.98,6426.32,3.0,South,4,55,0,22,4,33,105.87,45.92,-106.44,1,At-Risk Customer
TX-10006,CUST-1284,2025-08-17,18,Furniture,4,739.31,15.0,426.28,5912.97,4.6,West,2,297,0,9,2,8,2535.54,2513.65,710.84,0,Regular Customer
TX-10007,CUST-1159,2025-12-02,20,Clothing,1,139.43,5.0,74.11,6166.63,4.9,North,2,80,0,13,3,15,206.01,132.46,-43.15,0,Regular Customer
TX-10008,CUST-1099,2026-02-13,51,Clothing,1,226.62,0.0,93.73,3703.31,4.2,East,3,373,0,23,4,34,303.19,226.62,63.84,0,Regular Customer
TX-10009,CUST-1747,2026-04-06,38,Home & Kitchen,5,325.27,25.0,153.76,2388.37,2.5,North,1,127,0,19,4,22,1277.82,1219.76,410.64,1,At-Risk Customer
TX-10010,CUST-1387,2025-09-23,39,Home & Kitchen,2,218.07,0.0,111.34,3272.41,5.0,East,4,339,0,12,5,23,497.89,436.14,146.37,0,Regular Customer
TX-10011,CUST-1633,2026-02-15,31,Home & Kitchen,3,122.5,5.0,66.42,1221.32,4.8,South,3,53,0,27,3,30,401.61,349.12,118.05,0,Regular Customer
TX-10012,CUST-1046,2026-07-18,24,Furniture,2,333.7,5.0,232.4,7971.9,4.7,East,3,174,0,26,8,67,701.15,634.03,36.15,0,High Value Customer
TX-10013,CUST-1238,2025-10-04,45,Grocery,15,32.92,5.0,28.61,2790.23,5.0,East,1,183,0,10,1,7,499.84,469.11,-6.39,0,Regular Customer
TX-10014,CUST-1373,2025-11-05,50,Clothing,2,187.21,10.0,77.06,5272.49,3.5,East,4,244,0,2,7,7,391.3,336.98,85.77,1,At-Risk Customer
TX-10015,CUST-1273,2026-08-08,35,Fitness,2,196.55,25.0,123.18,2980.63,4.3,North,6,202,0,38,5,63,338.51,294.83,-23.24,0,Loyal Customer
TX-10016,CUST-1175,2026-05-14,23,Fitness,1,182.33,15.0,92.82,1524.66,5.0,South,4,184,0,41,11,130,180.62,154.98,21.29,0,Loyal Customer
TX-10017,CUST-1388,2025-12-30,30,Fitness,1,300.73,10.0,167.97,728.75,4.2,South,2,278,0,15,3,16,315.34,270.66,82.76,0,Regular Customer
TX-10018,CUST-1786,2025-09-11,27,Furniture,2,289.38,0.0,200.8,3491.16,4.4,North,5,360,0,14,3,17,602.25,578.76,102.29,0,Regular Customer
TX-10019,CUST-1410,2025-12-29,34,Electronics,1,717.59,25.0,442.68,5287.03,4.8,South,6,83,0,22,5,36,563.84,538.19,-10.79,0,High Value Customer
TX-10020,CUST-1580,2026-01-22,43,Furniture,2,513.62,0.0,304.54,7618.59,4.6,West,3,408,0,26,5,44,1103.9,1027.24,290.38,0,High Value Customer
TX-10021,CUST-1658,2026-04-05,39,Furniture,2,991.0,0.0,629.71,6584.03,4.8,East,4,79,0,33,3,30,2004.34,1982.0,605.82,0,Regular Customer
TX-10022,CUST-1762,2026-05-28,19,Home & Kitchen,2,305.4,5.0,145.7,2455.21,5.0,East,6,128,0,19,6,35,659.69,580.26,225.03,0,Loyal Customer
TX-10023,CUST-1438,2026-06-08,18,Grocery,15,63.23,20.0,48.14,3717.46,3.1,East,4,375,0,29,4,36,802.11,758.76,-37.1,1,At-Risk Customer
TX-10024,CUST-1141,2026-05-01,33,Grocery,6,76.25,10.0,66.42,3863.34,3.6,North,1,393,0,5,7,13,485.01,411.75,-49.22,1,At-Risk Customer
TX-10025,CUST-1112,2025-10-31,26,Fitness,2,120.08,0.0,72.32,1130.8,3.8,South,2,448,0,22,4,26,312.98,240.16,69.56,0,Regular Customer
TX-10026,CUST-1432,2026-06-15,39,Electronics,2,1404.18,5.0,931.03,3334.91,4.0,West,1,33,0,29,2,20,2695.07,2667.94,751.36,0,Regular Customer
TX-10027,CUST-1479,2026-05-11,39,Clothing,8,192.86,5.0,90.0,2642.84,3.4,North,2,148,0,25,4,33,1545.31,1465.74,697.09,1,At-Risk Customer
TX-10028,CUST-1117,2026-07-29,37,Home & Kitchen,2,437.11,10.0,220.57,3909.06,3.5,East,5,158,0,41,4,54,844.01,786.8,264.52,1,At-Risk Customer
TX-10029,CUST-1348,2025-10-10,26,Clothing,2,129.33,0.0,54.41,7807.96,3.6,West,1,226,0,24,3,26,335.65,258.66,28.22,1,At-Risk Customer
TX-10030,CUST-1003,2025-12-26,44,Home & Kitchen,3,205.66,0.0,120.63,697.75,5.0,South,5,238,0,14,6,33,661.87,616.98,222.12,0,Regular Customer
TX-10031,CUST-1108,2026-06-30,34,Clothing,8,219.56,30.0,112.54,4665.74,4.1,South,2,92,0,27,2,19,1263.25,1229.54,250.23,0,Regular Customer
TX-10032,CUST-1780,2025-11-04,47,Home & Kitchen,2,180.43,10.0,76.27,6292.39,5.0,North,5,68,0,20,5,33,381.99,324.77,55.35,0,Loyal Customer
TX-10033,CUST-1500,2025-08-23,25,Electronics,1,515.92,10.0,310.9,3441.83,4.6,East,4,322,0,18,7,37,513.85,464.33,83.8,0,High Value Customer
TX-10034,CUST-1314,2025-12-14,32,Electronics,1,2161.06,10.0,1488.26,2301.09,2.8,South,4,374,0,8,7,18,1981.67,1944.95,404.18,1,At-Risk Customer
TX-10035,CUST-1080,2025-09-26,34,Fitness,1,155.55,10.0,81.33,794.84,3.3,West,4,253,0,34,3,33,208.37,140.0,28.74,1,At-Risk Customer
TX-10036,CUST-1778,2026-05-13,27,Furniture,1,369.82,10.0,212.31,3266.85,4.6,South,5,28,0,17,2,16,383.54,332.84,49.03,0,Regular Customer
TX-10037,CUST-1562,2025-11-06,25,Clothing,1,125.67,5.0,57.37,3329.63,4.2,West,2,314,0,7,3,15,169.29,119.39,3.07,0,Regular Customer
TX-10038,CUST-1552,2026-08-02,36,Furniture,1,766.18,0.0,497.32,2628.32,3.4,East,5,240,0,4,4,9,795.35,766.18,206.94,1,At-Risk Customer
TX-10039,CUST-1687,2026-07-12,28,Clothing,1,66.98,20.0,27.26,1101.75,3.7,West,1,50,0,28,4,38,89.06,53.58,5.3,0,Regular Customer
TX-10040,CUST-1462,2025-10-14,41,Furniture,2,1125.84,5.0,688.29,6271.2,3.3,South,2,289,1,7,5,14,2178.33,2139.1,-44.0,1,At-Risk Customer
TX-10041,CUST-1021,2026-06-11,18,Home & Kitchen,2,220.79,0.0,112.54,5634.29,5.0,South,7,433,0,12,7,27,517.17,441.58,100.49,0,Regular Customer
TX-10042,CUST-1007,2025-09-19,42,Fitness,2,460.28,0.0,280.73,2267.69,4.5,North,4,103,0,22,6,44,966.88,920.56,307.08,0,High Value Customer
